isogroup100038	sp|Q1ZXK2|FORG_DICDI
isogroup102551	sp|Q9JKB0|HCN1_RAT
isogroup102560	sp|Q86ZN7|KAPR_HYPAT
isogroup102561	sp|P9WLZ3|Y1367_MYCTU
isogroup102575	sp|O88751|CABP1_RAT
isogroup102585	sp|Q9JJ80|RPF2_MOUSE
isogroup102609	sp|Q9WWU5|ATSK_PSEPU
isogroup102614	sp|Q9FVN0|AMT13_SOLLC
isogroup102625	sp|Q9ZE70|SAM_RICPR
isogroup102635	sp|Q9LSE4|CCB1_ARATH
isogroup102636	sp|Q8BHK9|ERC6L_MOUSE
isogroup102638	sp|Q5ZJD3|LSG1_CHICK
isogroup102648	sp|Q936X2|ATZF_PSESD
isogroup102658	sp|P9WIM5|RNMT_MYCTU
isogroup102678	sp|Q2KN99|CYTSA_RAT
isogroup102679	sp|Q54V96|T144B_DICDI
isogroup102682	sp|O88600|HSP74_RAT
isogroup102690	sp|Q7RZ35|DBP4_NEUCR
isogroup102693	sp|Q9FIY7|SM3L3_ARATH
isogroup102696	sp|Q797A7|MTRTR_BACSU
isogroup102712	sp|Q4L208|SL9A8_RAT
isogroup102713	sp|Q9BI88|U587_CAEEL
isogroup10272	sp|Q9LSQ5|FQR1_ARATH
isogroup102720	sp|O88445|AURKC_MOUSE
isogroup102732	sp|Q6GLM5|DESI1_XENLA
isogroup102748	sp|Q04634|EF1A_TETPY
isogroup102782	sp|Q96PD7|DGAT2_HUMAN
isogroup102802	sp|O22173|PABP4_ARATH
isogroup102811	sp|P05434|CATR_CHLRE
isogroup102813	sp|Q9V0D5|MDH_PYRAB
isogroup102819	sp|O22437|CHLD_PEA
isogroup102837	sp|Q54I71|AARA_DICDI
isogroup102846	sp|Q9C9A2|PP112_ARATH
isogroup102858	sp|Q27032|CDC2H_THEPA
isogroup102859	sp|Q39J54|HGD_BURL3
isogroup102873	sp|C9D7C2|CAC1A_APIME
isogroup102879	sp|Q8WWF8|CAPSL_HUMAN
isogroup102889	sp|Q54R82|MKKA_DICDI
isogroup102890	sp|Q381F9|XPBR_TRYB2
isogroup102900	sp|Q641K5|NUAK1_MOUSE
isogroup102923	sp|Q80W94|MOGT2_MOUSE
isogroup102947	sp|P9WQE3|PPSD_MYCTU
isogroup102966	sp|P32340|NDI1_YEAST
isogroup102984	sp|Q6YZI0|SPY_ORYSJ
isogroup102989	sp|Q6DEH3|KC2D1_DANRE
isogroup102990	sp|Q6MEC9|SYN_PARUW
isogroup103017	sp|Q6F3I7|DAP4_PSEMX
isogroup103031	sp|P97386|DNLI3_MOUSE
isogroup103043	sp|Q9NP64|NO40_HUMAN
isogroup103051	sp|Q7ZW46|S35B4_DANRE
isogroup103052	sp|Q8RWS8|PP199_ARATH
isogroup103074	sp|Q9SCY5|KINB2_ARATH
isogroup103076	sp|Q54ML1|NADE_DICDI
isogroup103092	sp|P23671|AMY_CLOAB
isogroup103106	sp|A9LIW2|CSC1L_BRAJU
isogroup103114	sp|P38991|IPL1_YEAST
isogroup103130	sp|Q23551|UNC22_CAEEL
isogroup103163	sp|P19485|CYA1_RHIME
isogroup103170	sp|O76360|EGL4_CAEEL
isogroup103185	sp|Q75VR0|TPC1B_TOBAC
isogroup103202	sp|O08595|SC22B_CRIGR
isogroup103204	sp|P16100|IDH_AZOVI
isogroup103221	sp|P87055|YDJ7_SCHPO
isogroup103236	sp|F4K6D3|SFH14_ARATH
isogroup103240	sp|Q07116|SUOX_RAT
isogroup103245	sp|Q9LZA6|SDP1_ARATH
isogroup103251	sp|O78410|CLPC_GUITH
isogroup103253	sp|Q23F13|CFA61_TETTS
isogroup103260	sp|Q6NWJ4|DNJC2_DANRE
isogroup103264	sp|Q8BLR9|HIF1N_MOUSE
isogroup103306	sp|Q54VI1|FHKE_DICDI
isogroup10331	sp|Q05973|SCN1_HETBL
isogroup103330	sp|P82186|GUN_MYTED
isogroup103344	sp|Q55D90|CDSA_DICDI
isogroup103353	sp|Q9FYK2|CML25_ARATH
isogroup103355	sp|Q9S7D1|DGDG1_ARATH
isogroup103367	sp|Q9VZD8|THUM1_DROME
isogroup103374	sp|F4JM19|MYO14_ARATH
isogroup103396	sp|P53624|MA1A1_DROME
isogroup103398	sp|Q51660|MAUN_PARDP
isogroup103428	sp|Q555C6|VP13B_DICDI
isogroup103437	sp|Q10323|IMT3_SCHPO
isogroup103452	sp|Q9QXN3|TRIP4_MOUSE
isogroup103460	sp|Q6P8Y1|CAPSL_MOUSE
isogroup103462	sp|Q9LP24|Y1571_ARATH
isogroup103465	sp|O15865|CDPK2_PLAFK
isogroup103475	sp|Q96VA4|GLGB_ASPOR
isogroup103477	sp|B1XLK6|HEM1_SYNP2
isogroup103487	sp|A0JM23|NPHP3_XENTR
isogroup103500	sp|Q8C8R3|ANK2_MOUSE
isogroup103506	sp|Q9T042|PDI54_ARATH
isogroup103513	sp|P42856|ZB14_MAIZE
isogroup103516	sp|Q6P298|NUBP1_DANRE
isogroup103521	sp|Q80WA4|NOVA1_RAT
isogroup103525	sp|Q8H0Z4|GT121_ARATH
isogroup103536	sp|P58100|COAE_CAUVC
isogroup103542	sp|F1LNJ2|U520_RAT
isogroup103565	sp|Q9VYS3|RENT1_DROME
isogroup103588	sp|P55925|SFAS_SPESI
isogroup103592	sp|Q7Z4S6|KI21A_HUMAN
isogroup103593	sp|Q5RFT1|S35F6_PONAB
isogroup103659	sp|Q6NS38|ALKB2_HUMAN
isogroup103662	sp|Q9LKB9|MYO6_ARATH
isogroup103694	sp|I6WZK7|MMCO_MYCTU
isogroup103701	sp|P54453|YQEH_BACSU
isogroup103751	sp|Q13526|PIN1_HUMAN
isogroup103764	sp|Q5JN42|PSD2_ORYSJ
isogroup103778	sp|P33324|YKJ1_YEAST
isogroup103786	sp|Q63472|KCNH1_RAT
isogroup103787	sp|Q9EPU0|RENT1_MOUSE
isogroup103789	sp|O80396|M2K3_ARATH
isogroup103797	sp|A5DQS0|DED1_PICGU
isogroup103807	sp|Q59641|PPIA_PSEAE
isogroup10382	sp|Q80WN9|B4GT2_CRIGR
isogroup103826	sp|Q5BJS7|CPNE9_RAT
isogroup103827	sp|Q5U374|KLH12_DANRE
isogroup103830	sp|P08201|NIRB_ECOLI
isogroup103844	sp|H7BZ55|CRCC2_HUMAN
isogroup103869	sp|Q7ZVW1|TM117_DANRE
isogroup103885	sp|Q8S341|PPA7_ARATH
isogroup103901	sp|A1CRI1|XYL1_ASPCL
isogroup103911	sp|Q9UYV8|NITR_PYRAB
isogroup103916	sp|Q9QYI7|DNJB8_MOUSE
isogroup103921	sp|P42347|PI3K1_SOYBN
isogroup103927	sp|Q8RY46|AB26B_ARATH
isogroup103934	sp|P9WKM0|Y966_MYCTO
isogroup103949	sp|O60729|CC14B_HUMAN
isogroup103951	sp|O42398|CAC1S_CHICK
isogroup103952	sp|O00400|ACATN_HUMAN
isogroup103955	sp|Q641W7|TTLL9_RAT
isogroup103957	sp|Q55680|Y005_SYNY3
isogroup103967	sp|O54898|CAC1G_RAT
isogroup103968	sp|P25071|CML12_ARATH
isogroup103969	sp|Q6TL19|GUC2G_MOUSE
isogroup104005	sp|Q9LQ14|PPR96_ARATH
isogroup104006	sp|Q9SHS7|BSL3_ARATH
isogroup104009	sp|Q9UNW9|NOVA2_HUMAN
isogroup104015	sp|P24733|MYS_ARGIR
isogroup104017	sp|Q9SY14|CSCL2_ARATH
isogroup104021	sp|Q28D01|WDR26_XENTR
isogroup104022	sp|Q869L3|MDN1_DICDI
isogroup104025	sp|Q03168|ASPP_AEDAE
isogroup104032	sp|Q8LG98|OTUBL_ARATH
isogroup104033	sp|P05370|G6PD_RAT
isogroup104052	sp|D3KCC4|CRNS1_CHICK
isogroup104054	sp|Q4WVW4|VAC8_ASPFU
isogroup104079	sp|A8L177|MSRA_FRASN
isogroup104100	sp|P81900|KAPR2_DROME
isogroup104110	sp|Q9Z1X1|ESYT1_RAT
isogroup104125	sp|Q3TCX3|KHDC4_MOUSE
isogroup104161	sp|Q75B43|MCA1_ASHGO
isogroup104192	sp|Q84MD8|FHYRK_ARATH
isogroup104196	sp|Q5SP90|PP4R3_DANRE
isogroup104211	sp|Q9V438|PDIA6_DROME
isogroup104222	sp|Q6DE73|OGFD1_XENLA
isogroup104251	sp|Q5R7R6|COG4_PONAB
isogroup104317	sp|Q40648|KCAB_ORYSJ
isogroup104318	sp|Q6EQX3|OML5_ORYSJ
isogroup104356	sp|E9PY46|IF140_MOUSE
isogroup104360	sp|Q75K28|NCSA_DICDI
isogroup104362	sp|Q6NRS1|IBTK_XENLA
isogroup104376	sp|P17210|KINH_DROME
isogroup104380	sp|Q54P00|ABKD_DICDI
isogroup104415	sp|Q9NDH7|GLY2_CAEEL
isogroup104430	sp|Q8VZM1|NAA15_ARATH
isogroup104435	sp|O15438|MRP3_HUMAN
isogroup104471	sp|Q9SCX8|PPA17_ARATH
isogroup104483	sp|Q6RVV4|TIC32_PEA
isogroup104485	sp|A0A0H2VDN9|ESIB_ECOL6
isogroup104512	sp|Q94FB9|AB1D_ARATH
isogroup104524	sp|P38130|KTR3_YEAST
isogroup104547	sp|P41363|ELYA_BACHD
isogroup104551	sp|Q6BZ77|DBP3_DEBHA
isogroup104611	sp|Q568P1|MESH1_DANRE
isogroup104614	sp|A4VL72|SYQ_PSEU5
isogroup104616	sp|Q7LL04|YQK1_SCHPO
isogroup104630	sp|P36362|CHIT_MANSE
isogroup104634	sp|P22543|VPS34_YEAST
isogroup104642	sp|Q8JGM4|QSOX1_CHICK
isogroup104644	sp|P14533|CABO_DORPE
isogroup104691	sp|P38169|KMO_YEAST
isogroup104692	sp|P44121|DNLI_HAEIN
isogroup104712	sp|Q8VZC3|AL121_ARATH
isogroup104755	sp|Q99J25|MRM1_MOUSE
isogroup104776	sp|F4IUX6|RENT2_ARATH
isogroup104783	sp|Q8W4K3|CAAT4_ARATH
isogroup104796	sp|Q00808|HETE1_PODAS
isogroup104825	sp|Q9M8K7|DUS1B_ARATH
isogroup104916	sp|P11497|ACACA_RAT
isogroup104931	sp|Q18161|YBPT_CAEEL
isogroup104969	sp|P33215|NEDD1_MOUSE
isogroup105028	sp|O81864|FK171_ARATH
isogroup105157	sp|P53780|METC_ARATH
isogroup105171	sp|Q86HG9|Y9871_DICDI
isogroup105220	sp|P29974|CNGA1_MOUSE
isogroup105222	sp|P12955|PEPD_HUMAN
isogroup105330	sp|Q96MT7|CFA44_HUMAN
isogroup105335	sp|O00763|ACACB_HUMAN
isogroup105348	sp|Q9SKC3|ARI9_ARATH
isogroup105377	sp|O60840|CAC1F_HUMAN
isogroup105387	sp|Q5RDB8|NIPA3_PONAB
isogroup105398	sp|P40692|MLH1_HUMAN
isogroup105401	sp|Q9YHY6|CND1_XENLA
isogroup105427	sp|P44842|Y722_HAEIN
isogroup105548	sp|Q9H0J9|PAR12_HUMAN
isogroup105562	sp|Q9UBV2|SE1L1_HUMAN
isogroup105574	sp|P91622|PDK_DROME
isogroup105636	sp|Q5REG4|DTX3_PONAB
isogroup105642	sp|F4K2E9|PRP16_ARATH
isogroup105701	sp|Q6PDI5|ECM29_MOUSE
isogroup105748	sp|P16947|M49_STRP9
isogroup105751	sp|Q9STN7|BOB2_ARATH
isogroup105758	sp|Q7NZD1|UBIB_CHRVO
isogroup10579	sp|Q05B79|DHX36_BOVIN
isogroup105823	sp|Q7NMD1|CRYD_GLOVI
isogroup105840	sp|Q99J27|ACATN_MOUSE
isogroup105862	sp|Q5TZA2|CROCC_HUMAN
isogroup105879	sp|Q5B0C9|APTB_EMENI
isogroup105907	sp|Q8CDZ2|MT21E_MOUSE
isogroup105912	sp|Q9AWA5|GWD1_SOLTU
isogroup105941	sp|W8JDE0|ADH9_CATRO
isogroup105985	sp|Q3V1D5|PLPL1_MOUSE
isogroup105987	sp|P42942|YG4I_YEAST
isogroup106010	sp|G5ECS8|ADT1_CAEEL
isogroup106053	sp|P37384|DMC1_LILLO
isogroup106080	sp|Q7T2B0|CTL4_DANRE
isogroup106265	sp|Q93VG8|PPDEX_ARATH
isogroup106284	sp|Q9Y6D6|BIG1_HUMAN
isogroup106378	sp|F2Z461|HERC6_MOUSE
isogroup106420	sp|Q8D8Q7|Y2912_VIBVU
isogroup106520	sp|Q8TJA8|HPPA2_METAC
isogroup106579	sp|Q58536|Y1136_METJA
isogroup106682	sp|Q99KN9|EPN4_MOUSE
isogroup106720	sp|C5CFR9|PTH_KOSOT
isogroup10675	sp|A7KVC2|AB4C_MAIZE
isogroup106826	sp|B0RCQ8|LEU1_CLAMS
isogroup106834	sp|Q54C94|GEFF_DICDI
isogroup106854	sp|Q76NW7|HGH1_DICDI
isogroup106912	sp|P16924|P4HA1_CHICK
isogroup106922	sp|Q96DT5|DYH11_HUMAN
isogroup106942	sp|Q9QWS8|KCNH8_RAT
isogroup107003	sp|O13848|I3ACR_SCHPO
isogroup107022	sp|Q0IIH8|MINY3_BOVIN
isogroup107053	sp|Q03042|KGP1_DROME
isogroup107114	sp|Q9ATL9|TIP21_MAIZE
isogroup107161	sp|P23641|MPCP_YEAST
isogroup107200	sp|Q9ZUV3|IRX7_ARATH
isogroup107294	sp|Q4DJ07|PGFS_TRYCC
isogroup107306	sp|Q7XSQ5|CDPKC_ORYSJ
isogroup107430	sp|P16152|CBR1_HUMAN
isogroup107453	sp|Q08972|NEW1_YEAST
isogroup107458	sp|Q9LDI3|CIPKO_ARATH
isogroup107496	sp|Q8GX93|CLCE_ARATH
isogroup107498	sp|Q40300|FCPF_MACPY
isogroup107544	sp|Q8VYN6|PFKA5_ARATH
isogroup107621	sp|Q9FEB5|DSP4_ARATH
isogroup107637	sp|Q9ST27|PHOT2_ORYSJ
isogroup107657	sp|Q9P2P6|STAR9_HUMAN
isogroup107685	sp|Q9LDY5|FK172_ARATH
isogroup107735	sp|Q8CG09|MRP1_RAT
isogroup107791	sp|Q6L5C4|P2C52_ORYSJ
isogroup107869	sp|O35709|ENC1_MOUSE
isogroup107873	sp|A8KBL5|S38AB_DANRE
isogroup107883	sp|Q6AVN2|SIRP1_ORYSJ
isogroup10789	sp|Q54U44|ABCCC_DICDI
isogroup107899	sp|Q6PFX9|TNKS1_MOUSE
isogroup107932	sp|Q00955|ACAC_YEAST
isogroup107959	sp|P77526|YFCG_ECOLI
isogroup107977	sp|Q9USP2|YND1_SCHPO
isogroup107990	sp|P9WQE7|PPSA_MYCTU
isogroup108000	sp|O95372|LYPA2_HUMAN
isogroup108043	sp|Q6Q4H1|JMJD6_HYDVU
isogroup108044	sp|Q567W6|DPH1_DANRE
isogroup108066	sp|Q07538|PRP4_SCHPO
isogroup108084	sp|Q6R5J2|DISP1_DANRE
isogroup108096	sp|Q9NRP7|STK36_HUMAN
isogroup108129	sp|Q9C8U7|IAN4_ARATH
isogroup108134	sp|Q9LHD2|GATLA_ARATH
isogroup108139	sp|O23305|Y4449_ARATH
isogroup108140	sp|Q04373|PUF6_YEAST
isogroup108181	sp|P22316|CAC1S_CYPCA
isogroup108186	sp|O42851|YFHE_SCHPO
isogroup108289	sp|Q9SFU0|SC24A_ARATH
isogroup108300	sp|Q8IZH2|XRN1_HUMAN
isogroup108320	sp|Q4P331|IF4A_USTMA
isogroup108322	sp|Q0BUP7|RL2_GRABC
isogroup108342	sp|Q8BG09|T184B_MOUSE
isogroup108360	sp|Q9R9I9|MYCC_BACIU
isogroup108411	sp|Q02280|KCNAE_DROME
isogroup108465	sp|Q9ZVN9|TF2H2_ARATH
isogroup108486	sp|Q6T308|GLGB_FELCA
isogroup108530	sp|Q9P2D7|DYH1_HUMAN
isogroup108534	sp|Q3UY96|CFA74_MOUSE
isogroup108536	sp|A0JPI9|LR74A_RAT
isogroup108537	sp|F4I1L3|ACC2_ARATH
isogroup108554	sp|Q9SM43|VDE_SPIOL
isogroup108581	sp|O75832|PSD10_HUMAN
isogroup108613	sp|Q64M78|OML4_ORYSJ
isogroup108680	sp|P73577|Y889_SYNY3
isogroup108741	sp|C9D7C2|CAC1A_APIME
isogroup1088	sp|F4JYG0|PIAL2_ARATH
isogroup108816	sp|Q75M35|OML3_ORYSJ
isogroup108818	sp|Q1LXZ7|IQCH_DANRE
isogroup108862	sp|P73121|Y1919_SYNY3
isogroup108892	sp|Q8BK58|HBAP1_MOUSE
isogroup108906	sp|Q9NGQ2|KIF1_DICDI
isogroup108925	sp|Q9GV41|PGFS_TRYBB
isogroup108926	sp|Q7ZWV9|MAP1_XENLA
isogroup108948	sp|P15916|MCE_FOWPN
isogroup109020	sp|P0AB70|PNTB_SHIFL
isogroup109045	sp|A0A0H2VDN9|ESIB_ECOL6
isogroup109064	sp|Q9SAH5|PLMT_ARATH
isogroup109068	sp|Q9ZRT5|GSTT1_ARATH
isogroup109072	sp|P22630|AMY1_AERHY
isogroup109092	sp|Q3ED68|Y1295_ARATH
isogroup109106	sp|Q8TVI1|DHQS_METKA
isogroup109109	sp|A0JPA0|CNNM4_XENTR
isogroup109116	sp|B8B350|CSTR1_ORYSI
isogroup109126	sp|Q09734|MIP_TRYCR
isogroup109129	sp|Q9LVE2|2A5Z_ARATH
isogroup109132	sp|Q32L00|ALKB3_BOVIN
isogroup109145	sp|Q8RY46|AB26B_ARATH
isogroup109172	sp|Q98267|NTP1_MCV1
isogroup109231	sp|Q9URZ1|PIMT_SCHPO
isogroup109257	sp|P42567|EPS15_MOUSE
isogroup109263	sp|Q5FY69|SC5AA_PIG
isogroup109283	sp|Q93VC9|CATB2_ARATH
isogroup109288	sp|Q803H0|CG025_DANRE
isogroup109299	sp|Q14BP6|LR74B_MOUSE
isogroup109323	sp|Q9C8L4|ETHE1_ARATH
isogroup10936	sp|A2SFL0|ILVD_METPP
isogroup109496	sp|Q7XUF4|CDKG2_ORYSJ
isogroup109532	sp|Q16798|MAON_HUMAN
isogroup109545	sp|Q8VWF5|AML5_ARATH
isogroup109556	sp|Q10058|YAM3_SCHPO
isogroup109609	sp|Q7RJG2|CDPK4_PLAYO
isogroup109634	sp|Q032L5|UNG_LACLS
isogroup109649	sp|Q9ULJ7|ANR50_HUMAN
isogroup109653	sp|Q5T124|UBX11_HUMAN
isogroup10968	sp|Q9P2D7|DYH1_HUMAN
isogroup109691	sp|Q9LIC2|TMN7_ARATH
isogroup109704	sp|Q8CI04|COG3_MOUSE
isogroup109765	sp|Q9D4D4|TKTL2_MOUSE
isogroup109772	sp|Q54N44|PPAN_DICDI
isogroup109808	sp|Q10RZ1|BAMY2_ORYSJ
isogroup109824	sp|P48727|GLC7B_CAEEL
isogroup109839	sp|Q86KR9|P4HA_DICDI
isogroup109897	sp|A8G8C4|TATD_SERP5
isogroup109917	sp|Q970S6|SUA5_SULTO
isogroup109943	sp|O94296|YOOC_SCHPO
isogroup109959	sp|Q43207|FKB70_WHEAT
isogroup110043	sp|Q84VX4|MPS1_ARATH
isogroup110108	sp|O14142|SYM1_SCHPO
isogroup110167	sp|Q55GU0|Y9955_DICDI
isogroup110218	sp|E9Q9D5|RBL2A_MOUSE
isogroup110258	sp|Q94F08|HIPL2_ARATH
isogroup110263	sp|O34331|YLBH_BACSU
isogroup110278	sp|Q5Z9I2|IMCL1_ORYSJ
isogroup110327	sp|A9V2C1|NHAAB_MONBE
isogroup110362	sp|P50520|VPS34_SCHPO
isogroup110439	sp|Q9D9X6|ZSWM2_MOUSE
isogroup110445	sp|Q8GVP6|PDRP1_ORYSJ
isogroup110467	sp|Q7XN11|GATP1_ORYSJ
isogroup110468	sp|Q96AT9|RPE_HUMAN
isogroup110475	sp|Q5R614|SYLC_PONAB
isogroup110476	sp|Q6GDG7|ARCA_STAAR
isogroup110573	sp|Q8IQF1|MOCS1_DROME
