isogroup100038	Q1ZXK2
isogroup10331	Q05973
isogroup103330	P82186
isogroup103344	Q55D90
isogroup103353	Q9FYK2
isogroup103355	Q9S7D1
isogroup103367	Q9VZD8
isogroup103374	F4JM19
isogroup103396	P53624
isogroup103398	Q51660
isogroup103428	Q555C6
isogroup103437	Q10323
isogroup103452	Q9QXN3
isogroup103460	Q6P8Y1
isogroup103462	Q9LP24
isogroup103465	O15865
isogroup103475	Q96VA4
isogroup103477	B1XLK6
isogroup103487	A0JM23
isogroup103500	Q8C8R3
isogroup103506	Q9T042
isogroup103513	P42856
isogroup103516	Q6P298
isogroup103521	Q80WA4
isogroup103525	Q8H0Z4
isogroup103536	P58100
isogroup103542	F1LNJ2
isogroup103565	Q9VYS3
isogroup103588	P55925
isogroup103592	Q7Z4S6
isogroup103593	Q5RFT1
isogroup103659	Q6NS38
isogroup103662	Q9LKB9
isogroup103694	I6WZK7
isogroup103701	P54453
isogroup103751	Q13526
isogroup103764	Q5JN42
isogroup103778	P33324
isogroup103786	Q63472
isogroup103787	Q9EPU0
isogroup103789	O80396
isogroup103797	A5DQS0
isogroup103807	Q59641
isogroup10382	Q80WN9
isogroup103826	Q5BJS7
isogroup103827	Q5U374
isogroup103830	P08201
isogroup103844	H7BZ55
isogroup103869	Q7ZVW1
isogroup103885	Q8S341
isogroup103901	A1CRI1
isogroup103911	Q9UYV8
isogroup103916	Q9QYI7
isogroup103921	P42347
isogroup103927	Q8RY46
isogroup103934	P9WKM0
isogroup103949	O60729
isogroup103951	O42398
isogroup103952	O00400
isogroup103955	Q641W7
isogroup103957	Q55680
isogroup103967	O54898
isogroup103968	P25071
isogroup103969	Q6TL19
isogroup104005	Q9LQ14
isogroup104006	Q9SHS7
isogroup104009	Q9UNW9
isogroup104015	P24733
isogroup104017	Q9SY14
isogroup104021	Q28D01
isogroup104022	Q869L3
isogroup104025	Q03168
isogroup104032	Q8LG98
isogroup104033	P05370
isogroup104052	D3KCC4
isogroup104054	Q4WVW4
isogroup104079	A8L177
isogroup104100	P81900
isogroup104110	Q9Z1X1
isogroup104125	Q3TCX3
isogroup104161	Q75B43
isogroup104192	Q84MD8
isogroup104196	Q5SP90
isogroup104211	Q9V438
isogroup104222	Q6DE73
isogroup104251	Q5R7R6
isogroup104317	Q40648
isogroup104318	Q6EQX3
isogroup104356	E9PY46
isogroup104360	Q75K28
isogroup104362	Q6NRS1
isogroup104376	P17210
isogroup104380	Q54P00
isogroup104415	Q9NDH7
isogroup104430	Q8VZM1
isogroup104435	O15438
isogroup104471	Q9SCX8
isogroup104483	Q6RVV4
isogroup104485	A0A0H2VDN9
isogroup104512	Q94FB9
isogroup104524	P38130
isogroup104547	P41363
isogroup104551	Q6BZ77
isogroup104611	Q568P1
isogroup104614	A4VL72
isogroup104616	Q7LL04
isogroup104630	P36362
isogroup104634	P22543
isogroup104642	Q8JGM4
isogroup104644	P14533
isogroup104691	P38169
isogroup104692	P44121
isogroup104712	Q8VZC3
isogroup104755	Q99J25
isogroup104776	F4IUX6
isogroup104783	Q8W4K3
isogroup104796	Q00808
isogroup104825	Q9M8K7
isogroup104916	P11497
isogroup104931	Q18161
isogroup104969	P33215
isogroup105028	O81864
isogroup105157	P53780
isogroup105171	Q86HG9
isogroup105220	P29974
isogroup105222	P12955
isogroup105330	Q96MT7
isogroup105335	O00763
isogroup105348	Q9SKC3
isogroup105377	O60840
isogroup105387	Q5RDB8
isogroup105398	P40692
isogroup105401	Q9YHY6
isogroup105427	P44842
isogroup105548	Q9H0J9
isogroup105562	Q9UBV2
isogroup105574	P91622
isogroup105636	Q5REG4
isogroup105642	F4K2E9
isogroup105701	Q6PDI5
isogroup105748	P16947
isogroup105751	Q9STN7
isogroup105758	Q7NZD1
isogroup10579	Q05B79
isogroup105823	Q7NMD1
isogroup105840	Q99J27
isogroup105862	Q5TZA2
isogroup105879	Q5B0C9
isogroup105907	Q8CDZ2
isogroup105912	Q9AWA5
isogroup105941	W8JDE0
isogroup105985	Q3V1D5
isogroup105987	P42942
isogroup106010	G5ECS8
isogroup106053	P37384
isogroup106080	Q7T2B0
isogroup106265	Q93VG8
isogroup106284	Q9Y6D6
isogroup106378	F2Z461
isogroup106420	Q8D8Q7
isogroup106520	Q8TJA8
isogroup106579	Q58536
isogroup106682	Q99KN9
isogroup106720	C5CFR9
isogroup10675	A7KVC2
isogroup106826	B0RCQ8
isogroup106834	Q54C94
isogroup106854	Q76NW7
isogroup106912	P16924
isogroup106922	Q96DT5
isogroup106942	Q9QWS8
isogroup107003	O13848
isogroup107022	Q0IIH8
isogroup107053	Q03042
isogroup107114	Q9ATL9
isogroup107161	P23641
isogroup107200	Q9ZUV3
isogroup107294	Q4DJ07
isogroup107306	Q7XSQ5
isogroup107430	P16152
isogroup107453	Q08972
isogroup107458	Q9LDI3
isogroup107496	Q8GX93
isogroup107498	Q40300
isogroup107544	Q8VYN6
isogroup107621	Q9FEB5
isogroup107637	Q9ST27
isogroup107657	Q9P2P6
isogroup107685	Q9LDY5
isogroup107735	Q8CG09
isogroup107791	Q6L5C4
isogroup107869	O35709
isogroup107873	A8KBL5
isogroup107883	Q6AVN2
isogroup10789	Q54U44
isogroup107899	Q6PFX9
isogroup107932	Q00955
isogroup107959	P77526
isogroup107977	Q9USP2
isogroup107990	P9WQE7
isogroup108000	O95372
isogroup108043	Q6Q4H1
isogroup108044	Q567W6
isogroup108066	Q07538
isogroup108084	Q6R5J2
isogroup108096	Q9NRP7
isogroup108129	Q9C8U7
isogroup108134	Q9LHD2
isogroup108139	O23305
isogroup108140	Q04373
isogroup108181	P22316
isogroup108186	O42851
isogroup108289	Q9SFU0
isogroup108300	Q8IZH2
isogroup108320	Q4P331
isogroup108322	Q0BUP7
isogroup108342	Q8BG09
isogroup108360	Q9R9I9
isogroup108411	Q02280
isogroup108465	Q9ZVN9
isogroup108486	Q6T308
isogroup108530	Q9P2D7
isogroup108534	Q3UY96
isogroup108536	A0JPI9
isogroup108537	F4I1L3
isogroup108554	Q9SM43
isogroup108581	O75832
isogroup108613	Q64M78
isogroup108680	P73577
isogroup108741	C9D7C2
isogroup1088	F4JYG0
isogroup108816	Q75M35
isogroup108818	Q1LXZ7
isogroup108862	P73121
isogroup108892	Q8BK58
isogroup108906	Q9NGQ2
isogroup108925	Q9GV41
isogroup108926	Q7ZWV9
isogroup108948	P15916
isogroup109020	P0AB70
isogroup109045	A0A0H2VDN9
isogroup109064	Q9SAH5
isogroup109068	Q9ZRT5
isogroup109072	P22630
isogroup109092	Q3ED68
isogroup109106	Q8TVI1
isogroup109109	A0JPA0
isogroup109116	B8B350
isogroup109126	Q09734
isogroup109129	Q9LVE2
isogroup109132	Q32L00
isogroup109145	Q8RY46
isogroup109172	Q98267
isogroup109231	Q9URZ1
isogroup109257	P42567
isogroup109263	Q5FY69
isogroup109283	Q93VC9
isogroup109288	Q803H0
isogroup109299	Q14BP6
isogroup109323	Q9C8L4
isogroup10936	A2SFL0
isogroup109496	Q7XUF4
isogroup109532	Q16798
isogroup109545	Q8VWF5
isogroup109556	Q10058
isogroup109609	Q7RJG2
isogroup109634	Q032L5
isogroup109649	Q9ULJ7
isogroup109653	Q5T124
isogroup10968	Q9P2D7
isogroup109691	Q9LIC2
isogroup109704	Q8CI04
isogroup109765	Q9D4D4
isogroup109772	Q54N44
isogroup109808	Q10RZ1
isogroup109824	P48727
isogroup109839	Q86KR9
isogroup109897	A8G8C4
isogroup109917	Q970S6
isogroup109943	O94296
isogroup109959	Q43207
isogroup110043	Q84VX4
isogroup110108	O14142
isogroup110167	Q55GU0
isogroup110218	E9Q9D5
isogroup110258	Q94F08
isogroup110263	O34331
isogroup110278	Q5Z9I2
isogroup110327	A9V2C1
isogroup110362	P50520
isogroup110439	Q9D9X6
isogroup110445	Q8GVP6
isogroup110467	Q7XN11
isogroup110468	Q96AT9
isogroup110475	Q5R614
isogroup110476	Q6GDG7
isogroup110573	Q8IQF1
isogroup110591	O50310
isogroup110599	Q99LB7
isogroup110647	Q8IIG7
isogroup110650	O42653
isogroup110664	Q84L08
isogroup110677	Q2TA38
isogroup110689	P0AG15
isogroup110701	Q1DCL2
isogroup110747	Q969I6
isogroup110753	O97463
isogroup110787	P26651
isogroup110790	P54399
isogroup110849	Q05152
isogroup110852	Q9VYV5
isogroup110878	Q0P595
isogroup110890	Q6AY40
isogroup110900	Q6NYF0
isogroup110903	Q9HUX6
isogroup110909	Q72HR4
isogroup110910	O74832
isogroup110912	Q15JG7
isogroup110923	Q9LJX8
isogroup110924	B9JLT8
isogroup110929	O94886
isogroup110934	P46953
isogroup110964	Q6UEF0
isogroup110965	O95551
isogroup110973	A4YJX9
isogroup110977	Q93VG8
isogroup111000	Q7TPS0
isogroup111009	Q96S16
isogroup111011	Q5F3A6
isogroup111021	Q84QC1
isogroup111031	Q8H0T4
isogroup111033	Q45FA5
isogroup111036	P80405
isogroup111038	Q9GZT9
isogroup111044	Q5A2Z1
isogroup111047	Q9VD92
isogroup111050	Q5SHB3
isogroup111058	Q6P158
isogroup111060	P04062
isogroup111066	Q75JP5
isogroup111070	P70473
isogroup111075	P81650
isogroup111079	Q7KWX9
isogroup111086	O42936
isogroup111090	Q6ZUM4
isogroup111099	C4L887
isogroup111100	P22543
isogroup111107	O88345
isogroup111122	A0QNZ7
isogroup111123	P14105
isogroup111127	Q559K0
isogroup111134	Q5VQL1
isogroup111142	Q9SKC4
isogroup111167	Q99L04
isogroup111172	Q08J23
isogroup111174	Q8N6R0
isogroup111175	P26514
isogroup111181	Q9EPU0
isogroup111189	Q58CU3
isogroup111192	A4IGU3
isogroup111197	Q68EU6
isogroup111213	Q53G59
isogroup111222	Q46845
isogroup111223	Q75H77
isogroup111230	Q9P3U4
isogroup111239	Q27256
isogroup111246	Q3TYU2
isogroup111261	Q869Q0
isogroup111265	P16157
isogroup111274	Q8VBX0
isogroup111283	O43497
isogroup111299	A1K8Q1
isogroup111316	O01704
isogroup111322	A7MBI7
isogroup111323	Q80U19
isogroup111338	Q9VCA8
isogroup111340	K4BW79
isogroup111342	P53355
isogroup111352	D3U1D9
isogroup111357	P05132
isogroup111361	Q9P2M1
isogroup111365	O64642
isogroup111372	Q55EQ3
isogroup111374	Q13231
isogroup111377	P92949
isogroup111379	P39524
isogroup111381	Q39575
isogroup111385	B0DSN9
isogroup111403	Q53547
isogroup111405	P46351
isogroup111412	Q56YN8
isogroup111440	Q5EA24
isogroup111444	Q9FN03
isogroup111446	P31072
isogroup111457	Q5XFW8
isogroup111466	O60160
isogroup111467	G5EBI4
isogroup111470	B0BN85
isogroup111477	Q96CX2
isogroup111483	F4JAU3
isogroup111491	P34877
isogroup111515	P34624
isogroup111528	P48208
isogroup111531	Q90854
isogroup111532	D4AZ24
isogroup111535	Q50KB1
isogroup111537	Q9Z0V1
isogroup111538	P38130
isogroup111540	Q09906
isogroup111543	Q8TL44
isogroup111545	A0PQ29
isogroup111547	Q9JKA7
isogroup111549	Q8N9T8
isogroup111552	Q5M755
isogroup111556	Q9NVG8
isogroup111558	P73121
isogroup111560	O42820
isogroup111561	Q6DG99
isogroup111562	Q8I2J4
isogroup111564	Q2R1M8
isogroup111578	O96099
isogroup111580	Q93VV0
isogroup111591	Q0WLC6
isogroup111606	P25071
isogroup111610	O42851
isogroup111621	P0AEB5
isogroup111626	Q6NMM8
isogroup111635	P54453
isogroup111640	Q0VGW4
isogroup111645	Q9RA11
isogroup111646	Q9FRL8
isogroup111682	G5EDN6
isogroup111698	Q39054
isogroup111700	O54187
isogroup111703	A5PK19
isogroup111708	A1KRZ9
isogroup111713	Q9P0X4
isogroup111723	Q6P3R8
isogroup111732	Q9ZU35
isogroup111736	P0A5D4
isogroup111747	P42519
isogroup111754	Q5HZE0
isogroup111759	P32839
isogroup111769	P15479
isogroup111772	Q9R1K7
isogroup111774	O75808
isogroup111776	A7MD48
isogroup111786	P48506
isogroup111797	P43644
isogroup111801	Q8GX93
isogroup111815	C3K1L7
isogroup111837	A8AGW0
isogroup111840	Q3TA59
isogroup111841	Q9LML7
isogroup111843	Q9UII4
isogroup111846	Q12797
isogroup111848	Q54MZ4
isogroup111855	Q9DBA6
isogroup111861	Q505D1
isogroup111865	O64530
isogroup111866	Q9FT73
isogroup111873	Q5RFF7
isogroup111885	B9DNJ9
isogroup111894	P52839
isogroup111901	B2VHF1
isogroup111910	Q54C32
isogroup111928	P94547
isogroup111935	O82175
isogroup111940	O14976
isogroup111954	P34118
isogroup111955	Q9VCA8
isogroup111969	P10477
isogroup111973	Q90339
isogroup111981	Q9Y5R4
isogroup111999	Q2VEX9
isogroup112	P0C6B8
isogroup112003	Q9SIC9
isogroup112004	Q5ZLP8
isogroup112010	B9FUF9
isogroup112014	A0A140N890
isogroup112023	P34943
isogroup112031	P33224
isogroup112052	P09398
isogroup112062	O81916
isogroup112073	Q8C8R3
isogroup112077	Q6GMR7
isogroup112090	O35454
isogroup112092	Q9FLA5
isogroup112097	Q2TBP8
isogroup112104	Q8W4G3
isogroup112116	Q87MD4
isogroup112117	Q0V9A9
isogroup112131	Q9D306
isogroup112136	Q8BID8
isogroup112144	O77821
isogroup112150	Q6N063
isogroup112155	Q8RX29
isogroup112164	P38166
isogroup112166	A4G7G5
isogroup112167	Q18223
isogroup112168	P57772
isogroup112185	A8I1Q0
isogroup112186	P50182
isogroup112190	Q2M3Z8
isogroup112202	Q8VZL4
isogroup112222	P53273
isogroup11223	P0A9T5
isogroup112230	O76512
isogroup112231	Q0GZS3
isogroup112237	Q8ZNK7
isogroup112241	O80695
isogroup112245	Q9C5D6
isogroup112246	P30725
isogroup112247	Q8BH79
isogroup112251	Q6DJR8
isogroup112260	Q7NDG8
isogroup112282	Q5UNT8
isogroup112288	Q28056
isogroup112294	Q9LS39
isogroup112299	P55143
isogroup112303	Q8WXE0
isogroup112319	Q92625
isogroup112321	Q64737
isogroup112351	Q0JKV1
isogroup112354	Q7F0J0
isogroup112366	P38494
isogroup112375	Q8H4S6
isogroup112410	Q04595
isogroup112431	Q8BG19
isogroup112434	A1L0Z6
isogroup112447	Q8C9J3
isogroup112450	Q0VF96
isogroup112466	Q9CWR2
isogroup112468	P07749
isogroup112470	B9FS33
isogroup112477	A0A0H2VDN9
isogroup112488	Q96HU1
isogroup112500	D3ZGQ5
isogroup112505	P62285
isogroup112506	P25152
isogroup11253	Q4KTG9
isogroup112534	Q9VBP3
isogroup112569	F4ILR7
isogroup112581	Q5SS80
isogroup112585	Q6Z2T6
isogroup112587	Q5NVJ8
isogroup112611	P16228
isogroup112613	Q04960
isogroup112634	G5E8K5
isogroup112644	A5DQN2
isogroup112651	Q62812
isogroup112658	Q9FE62
isogroup112676	Q495B1
isogroup112681	Q6NKN8
isogroup112685	P0C605
isogroup112690	B0BRD5
isogroup112716	Q6IMY8
isogroup112717	Q84K11
isogroup112721	O15891
isogroup112752	Q5FYB0
isogroup112770	Q8VZE7
isogroup112778	P36209
isogroup112780	P35501
isogroup112847	Q9SIC9
isogroup112868	Q40401
isogroup112870	Q9LDY5
isogroup112891	Q96P11
isogroup112895	D0LI56
isogroup112898	P42620
isogroup112899	P28575
isogroup112940	Q9FIX3
isogroup112955	O14359
isogroup112970	B4R9R7
isogroup112972	P37285
isogroup112996	O75771
isogroup113002	Q61481
isogroup113015	Q9SZ63
isogroup113016	Q03168
isogroup113059	P41179
isogroup113065	Q9SB68
isogroup113075	A9QT41
isogroup113114	Q12797
isogroup113120	Q9FIV6
isogroup113128	Q9P6Q1
isogroup113135	Q5ATG5
isogroup113138	Q5SPC5
isogroup113140	Q54H55
isogroup113154	Q8YSU5
isogroup113162	Q7NNA0
isogroup113172	Q9C9Z9
isogroup113176	Q63099
isogroup113182	Q8GYS4
isogroup113193	Q4UK32
isogroup113204	Q6NYL3
isogroup113214	Q5NDL9
isogroup113232	P39104
isogroup113234	P14749
isogroup113238	Q03042
isogroup113253	O08796
isogroup113255	Q9DBH0
isogroup113286	Q6K271
isogroup113307	Q9VCA8
isogroup113309	Q58516
isogroup113317	C8VK14
isogroup113318	Q5PQA4
isogroup113327	Q33AH8
isogroup113339	Q25BW4
isogroup113352	O08437
isogroup113365	A7STV9
isogroup113377	Q8R059
isogroup113378	Q63170
isogroup113389	O01775
isogroup113397	Q8P8H2
isogroup113407	O81148
isogroup113410	Q8H1D9
isogroup113426	A6QL92
isogroup113428	Q9SX31
isogroup113441	Q9T050
isogroup113445	P73121
isogroup113451	B9ENE7
isogroup113461	P73191
isogroup113493	O70507
isogroup113495	Q8GWQ6
isogroup113497	Q07652
isogroup113498	B8HXV0
isogroup113499	Q93VG8
isogroup113503	Q8H715
isogroup113505	P9WK87
isogroup113506	B4QLQ2
isogroup113507	Q14690
isogroup113509	Q5VYK3
isogroup113510	Q9DBT9
isogroup113513	Q80Y14
isogroup113515	Q93VG8
isogroup113521	Q9GPF1
isogroup113524	Q01484
isogroup113527	O31444
isogroup113530	Q15858
isogroup113534	Q9LY75
isogroup113535	Q5VQQ5
isogroup113541	Q16322
isogroup113544	P9WNX9
isogroup113550	Q0IIK5
isogroup113560	O43502
isogroup113564	A2RVM0
isogroup113569	Q9XIE6
isogroup113570	Q9VTU3
isogroup113571	Q9VCY8
isogroup113572	Q9ZSB5
isogroup113573	Q93VG8
isogroup113575	H2LRU7
isogroup113576	Q70HJ3
isogroup113590	P31239
isogroup113592	Q5ZHV2
isogroup113599	P26882
isogroup113600	P25386
isogroup113601	P70187
isogroup113604	Q8C1B2
isogroup113610	Q9RKB5
isogroup113618	Q55EA1
isogroup113619	P22462
isogroup113621	Q5FV41
isogroup113622	Q8Q0U0
isogroup113627	Q91YR5
isogroup113629	Q9ULJ7
isogroup113630	Q8VZN9
isogroup113633	Q9RKB5
isogroup113635	Q9M0R4
isogroup113638	Q91WU6
isogroup113640	F4JQ95
isogroup113641	Q6PFQ0
isogroup113644	Q9Y140
isogroup113645	Q6DN14
isogroup113646	A0JJU1
isogroup113649	P29957
isogroup113650	O61308
isogroup113651	Q9LVE4
isogroup113652	P51954
isogroup113653	Q63734
isogroup113657	Q9C0G6
isogroup113658	Q6G1F8
isogroup113660	Q9P7G5
isogroup113663	P16273
isogroup113665	Q08435
isogroup113672	Q8LPL6
isogroup113673	Q94AX5
isogroup113675	P10733
isogroup113676	Q14679
isogroup113677	C0ZJ16
isogroup113678	Q9R080
isogroup113679	Q9R053
isogroup113680	Q55E65
isogroup113683	Q505D1
isogroup113684	O74976
isogroup113689	P40514
isogroup113695	Q55EQ3
isogroup113696	Q8IUD2
isogroup113697	F4JTP5
isogroup113700	Q1W377
isogroup113701	O95271
isogroup113702	P08965
isogroup113703	O15865
isogroup113705	O88764
isogroup113706	Q6NKN8
isogroup113708	P27884
isogroup113711	Q3UMR0
isogroup113712	P23562
isogroup113713	Q922Q5
isogroup113714	Q55DM5
isogroup113715	A8HS48
isogroup113716	B2GUS6
isogroup113717	Q6AXQ5
isogroup113719	P53152
isogroup113720	F4HT41
isogroup113726	Q6Z2M9
isogroup113727	Q9UBC2
isogroup113729	P07850
isogroup113730	P67773
isogroup113734	P57740
isogroup113737	P17608
isogroup113739	Q9FKT5
isogroup113740	P13466
isogroup113741	A6QP05
isogroup113745	Q9FIQ0
isogroup113746	Q3E9A0
isogroup113748	O13945
isogroup113752	A7Z975
isogroup113758	Q7RTR2
isogroup113763	Q9SFB8
isogroup113765	Q9UQ35
isogroup113766	Q8DKI1
isogroup113767	O23166
isogroup113768	Q13698
isogroup113769	Q9USW3
isogroup113771	O54898
isogroup113772	Q6CKX0
isogroup113773	Q9SZL6
isogroup113774	Q06953
isogroup113775	A6WDF2
isogroup113781	Q9NGQ2
isogroup113782	Q92954
isogroup113783	Q882I8
isogroup113787	Q4WRQ4
isogroup113789	P9WIQ7
isogroup113796	Q7KQM6
isogroup113805	Q9QUR7
isogroup113808	Q52353
isogroup113813	Q602K3
isogroup113834	Q8L7B5
isogroup113835	Q13976
isogroup113842	Q25BW4
isogroup113843	P45974
isogroup113847	Q08168
isogroup113848	Q8L831
isogroup113851	Q8RY25
isogroup113852	Q9FEB5
isogroup113855	Q0DJV6
isogroup113860	Q9ZEA2
isogroup113862	Q9HEH1
isogroup113863	P43368
isogroup113864	Q06827
isogroup113876	Q9NJU9
isogroup113880	Q1LWG4
isogroup113883	Q5UNW1
isogroup113888	P0AGM0
isogroup113893	Q9P0X4
isogroup113894	P16228
isogroup113895	Q9JKB0
isogroup113907	P35749
isogroup113913	Q59990
isogroup113914	Q8ZPI0
isogroup113917	A6NC98
isogroup113923	Q9LKW9
isogroup113924	O60658
isogroup113925	Q6TDP4
isogroup113926	Q55680
isogroup113928	Q2NCA3
isogroup113931	F4IVR7
isogroup113932	Q54BA2
isogroup113934	Q2QY37
isogroup113938	Q8IVS2
isogroup113941	Q6XHA7
isogroup113943	F4I9E1
isogroup113945	Q12263
isogroup113947	Q6GQ69
isogroup113951	Q5DU05
isogroup113953	P43490
isogroup113958	Q54BW6
isogroup113961	Q921Y4
isogroup113963	Q8S341
isogroup113965	O80763
isogroup113966	Q4V8A2
isogroup113969	Q54MJ7
isogroup113970	Q8N5B7
isogroup113972	O94489
isogroup113976	Q3UES3
isogroup113979	P21343
isogroup113980	Q9UPT8
isogroup113983	Q3ZCC8
isogroup113986	A0R566
isogroup113989	E9PAV3
isogroup113990	R1CW23
isogroup113991	Q54BF6
isogroup113992	Q9QYM0
isogroup113993	P55180
isogroup113996	F4I2J8
isogroup113997	Q5N643
isogroup114000	O57483
isogroup114002	P40233
isogroup114007	Q839B2
isogroup114008	Q505D1
isogroup114014	Q6LYY1
isogroup114015	Q9VBP3
isogroup114017	Q9P0X4
isogroup114020	Q8YV57
isogroup114022	Q258K2
isogroup114026	O67359
isogroup114029	Q338P8
isogroup114030	P0CS32
isogroup114032	Q8R164
isogroup114036	Q38942
isogroup114039	Q5FWL7
isogroup114040	Q09811
